aug_tweet,label,tweet
testing a covid drug will determine if an emergency use authorization comes at the end of autumn via webmd,real,testing a covid drug will determine if an emergency use authorization come by late fall via webmd
achha covid achha chalta hu hu boy breathed hastily after singing a hindi song,fake,covid achha chalta hu boy breathed his hast after singing a hindi song
that has approved home remedy for cure of covid made by branch of pondicherry,fake,who ha approved homemade remedy for covid cure made by ramu from pondicherry
president donald trump is morbidly obese,fake,say president donald trump is morbidly obese
statements made in the videovirus planemia,fake,claim made in the viral video plandemic include
indian armed force greetings coronawriers together we can fight coronavirus,fake,indian armed force salute the coronawarriors together we can fight the coronavirus
positive news covid test for boris johnson,fake,news covid test positive for boris johnson
people who said they enjoyed blocking a pie diagram bring yours here,fake,people who said they enjoyed lockdown a pie chart get yours here
a clinician is feeling the psychological consequences of coronavirus,real,clinician are feeling the psychological fallout from coronavirus
mobile air device transport covided particles beyond what they move by themselves,real,air moving device carry covid particle further than they d move on their own
"symptoms of wild fire smoke are too similar to coronavirus, increasing the pressure to chained",real,wildfire smoke symptom are too similar to coronavirus adding pressure to strapped ed
doctor says no one has died of coronavirus,fake,italian doctor say no one ha died from coronavirus
the novel coronavirus can be cured by a freshly cooked garlic bowl,fake,the novel coronavirus can be cured by one bowl of freshly boiled garlic
videograph show covid covid is more dangerous than a previous outbreak,fake,videograph show covid is more dangerous than former outbreak
aamir khan distributed a thousand rupees to the poor in flour bag,fake,film star aamir khan distributed thousand rupee to the poor in flour bag
no one from news tired of people getting tired of blocking herd to ikea to make the stay at home stop him shit,fake,news people bored of lockdown flock to ikea to make staying at home seem le shit
none of the pregnant women who experienced na stillbirth had a covid symptom,real,none of the pregnant woman who experienced stillbirth had covid symptom
a collective will will be required to avoid death of covetous persons by the end of the year,real,it will take a collective willto avoid covid death by year s end
our updated day-to-day state is published reported 618k test and 38k case today the number of dead,real,our daily updated is published state reported 618k test and 38k case today the death toll is
news priti patel announces that the country has carried out eleven billion covid test,fake,news priti patel announces the country ha undertaken eleventybillion covid test
video show the last coveted patient leaving the hospital in new zeland,fake,video show the last covid patient exiting from the hospital in new zealand
why a doctor like me and anthony fauci didn't think hcq works for covid,real,why doctor like me and anthony fauci don t think hcq work for covid
people violate social distancing protocol at a temple festival in alappuzha india,fake,people violate social distancing protocol in a temple festival in alappuzha india
coronavirus a test that the government must pa minister exhort to prioritize tests in school,real,coronavirus a test the government must pa minister urged to prioritise testing in school
immunoglobulin antibody evidence in serial patients with severe covid and encephalitis,real,evidence of immunoglobulin antibody in case series patient with severe covid and encephalitis
since italy has not registered any new case of coronavirus,fake,since italy hasnt registered any new case of the coronavirus
empty hospital lot and waiting room indicate a coronavirus farce,fake,empty hospital lot and waiting room are indicative of a coronavirus hoax
this photo shows the young pregnant doctor who died of coveted in algeria,fake,this picture show the young pregnant doctor who died from covid in algeria
alberto fernández about death coronavirus mortality in people about,fake,alberto fernández about the coronavirus mortality in people over is
a tiger in the zoo bronx positive test for the zoodirector coronavirus coronavirus tiger bronxzoo,fake,a tiger in the bronx zoo test positive for the coronavirus coronavirus tiger bronxzoo zoodirector
other people have tested positive in uk the highest daily number since can,real,coronavirus another people have tested positive in the uk the highest daily figure since may
why a doctor like me and anthony fauci didn't think hcq works for covid,real,why doctor like me and anthony fauci don t think hcq work for covid
a sharpic state that since the onset of the crisis people have died and children have disappeared,fake,a sharepic state that since the beginning of the corona crisis people died and child are missing
a photo show brian kemp kemp posing with greyory mcmichael,fake,a photo show brian kemp posing with gregory mcmichael
former presidential candidate herman cain dy of covid,fake,breaking former presidential candidate herman cain dy of covid
"charles lieber wa, american researcher charles lieber wa, arrested for the sale of coronavirus al chino",fake,american researcher charles lieber wa arrested for selling the novel coronavirus to the chinese
henry kisser said population reduction should be done by means of a vaccine for the common good,fake,henry kissinger said that population reduction should be done by vaccine for the common good
coronavirus thousand coronavirus fine thousand fines for violating the rule of ambiguous and obscure blocking mp warning,real,coronavirus thousand fined for breaking unclear and ambiguous lockdown rule mp warn
yesterday our laboratory laboratory completed test that carries the total number of tests completed to,real,yesterday our laboratory completed test bringing the total number of test completed to date to
neo-york coronavirus hospitalization falls to a lesser number in four months,fake,new york s coronavirus hospitalization fall to lowest number in four month
coronavirus of 4 coronavirus county welsh facing local blockage after worrying and rapid increase in infection,real,coronavirus four more welsh county face local lockdown after worrying and rapid rise in infection
message showing the road map to relieve restriction during indian covid,fake,viral message showing roadmap to ease restriction during covid is from india
coronavirus detection is possible by respiration retention for the second,fake,coronavirus detection is possible by holding your breath for second
the state government of telangana will distribute ramadan gift packages during the blockade,fake,the telangana state government is distributing ramadan gift pack during the lockdown
china has successfully developed a vaccine ready to fight the coronavirus,fake,china ha successfully developed a vaccine ready to combat the coronavirus
trump administration collaborates with mckesson for vaccine distribution covid,fake,trump administration collaborates with mckesson for covid vaccine distribution
"if we stopped testing right now, we'd have very few cases, if there were",fake,if we stopped testing right now wed have very few case if any
"the virus is not installed in the air, but is terrified, so it is not transmitted by air",fake,the virus doe not settle in the air but is grounded so it is not transmitted by air
covid wa probable study in the mixing of seattle's early flu season,real,study covid wa likely in the mix of seattle s early flu season
say no virus on the toilet seat,fake,penny say no virus on toilet seat
dr manisha manisha patil dies due to covid during treatment of coronavirus patient in indian maharashtra,fake,dr manisha patil died due to covid while treating coronavirus patient in maharashtra india
guilty death of coronavirus coronavirus are really due to flu,fake,death blamed on coronavirus are actually due to the flu
pregnant woman with a higher rate of premature delivery,real,pregnant woman with covid have a higher rate of premature birth
"corporate kroger corporate kroger say the employee can't wear flag mask, but they can wear blm mask",fake,kroger corporate say employee can not wear flag mask but they can wear blm mask
people living in the quarantine center refuse to eat food it wa cooked by the lower caste woman,fake,people living in quarantine centre refuse to eat food a it wa cooked by lower caste woman
have confirmed the first case of coronavirus,fake,shands hospital of gainesville florida ha confirmed it first case of coronavirus
news bioweapon biological weapons another scary thing about surviving coves aren't recovering completely smartnews,fake,bioweapon news another scary thing about covid survivor aren t fully recovering smartnews
first death by coronavirus in raranquilla columbia,fake,first death from coronavirus in barranquilla columbia
"""russianvaccine russia russia"" (russianvaccine russia russia)",fake,respect putin daughter wa among the volunteer for trial russianvaccine russie
bhutan has zero covid case thanks to vegetarian diet,fake,bhutan ha zero covid case thanks to it vegetarian diet
expert esmo warns about the continued widespread interruption of cancer care due to covid,real,esmo expert warns about continued widespread disruption in cancer care due to covid
do you have questions about covid find the answer to your question on the updated faq page,real,do you have question about covid find answer to your question on the updated faq page
pak pm imran khan tested wife positive for covid,fake,pak pm imran khan wife tested positive for covid
"when we eradicate the coward, we can start over the asshole get the t-shirt here.",fake,when weve eradicated covid can we get started on the moron get the tshirt here
the cdc may have to stop calling covid an epidemic due to a remarkably low mortality rate,fake,the cdc may have to stop calling covid an epidemic due to a remarkably low death rate
news boris johnson proposes a lunashot shot plan to defeat covid using jedi space magic,fake,news boris johnson proposes moonshot plan to defeat covid using jedi space magic
nor is the covid coronavirus viral pole unicef nor accurate,fake,neither the viral post on coronavirus covid is from unicef nor it is accurate
indian medical research council icmr has issued guidelines on the postblockdown phase,fake,the indian council of medical research icmr ha issued guideline about the postlockdown phase
congress mp dr shashi tharoor praised ldf government in indian kerala for his relief life,fake,congress mp dr shashi tharoor praised ldf government in kerala india for their covid relief work
state reported death trend here has been good,real,state reported death the trend here ha been good
re descend near the lower part of the death per caput for most places are to die per,fake,we re down near the low end of per caput death most place are at death per were at
news coronavirus tracking application will also monitor your voice tone confirms matt hancock,fake,news coronavirus tracing app will also monitor you tone of voice confirms matt hancock
a health technician inspects the house and confiscates cash,fake,sanitary technician are going to inspect house and seize cash
dir tom hank has a volley-volley to keep him company while he's in quarantine,fake,say tom hank ha a volleyball to keep him company while he s quarantined
perno authorized by who to recompose to eat a single piece of spaghetti until i kiss coronavirus that i covid,fake,dog cleared by who to resume eating single piece of spaghetti until they kiss coronavirus who covid
there are now more than millions of reported cases of covid deadly dredrons,real,globally there are now more than million reported case of covid death drtedros
white house grants covid a green card visa,fake,white house grant covid a green card visa
prime minister ana brnabic asserts that the number of respirators is a state secret in every country,fake,prime minister ana brnabic claimed that the number of respirator is a state secret in all country
the fire incident on the rohini overflight in indian delhi is caused by hand sanitizer,fake,the fire incident at rohini flyover in delhi india is caused by hand sanitiser
covid is cured with hot water and soda bicarbonate,fake,covid is cured with hot water and baking soda
covid vaccinate arthurcaplan asks if our priority is speed or safety,real,covid vaccine arthurcaplan asks if our priority is speed or safety
"world don't tell covid how to do the job, but here's a list of people",fake,world not telling covid how to do it job but here s a list of people
triump media lawyer age bleeding donaldtrump virus conspiracy theories dictatorship vaccine,fake,triump advocate middle age bloodletting donaldtrump virus conspiracytheories dictatorship vaccine
native american in north dakota dakota will be the first subject to receive a new coronavirus vaccine,fake,native american in north dakota will be the first subject to receive a novel coronavirus vaccine
30 gps and specialist have written to the bmj bmj calling for action on long covid,real,thirtynine gps and specialist have written to the bmj calling for action on long covid
hydroxychloroquine do not show any benefit to the patient concerned through,real,hydroxychloroquine show no benefit for covid patient via who
covid done in the covid doesne not affect child child child can not infect other people either,fake,covid doe not affect child child cannot infect other people either
the man nashville feel for those who had life before coronavirus coronavirus coronavirus nashville family covid,fake,nashville man feel for those who had life before coronavirus coronavirus nashville family covid
to have been spoken to and referred for testing,real,a further people have been spoken with and referred for testing
a high level of sulphur dioxide dioxide in wuhan can be a sign of massive cremation of the victim of coronavirus,fake,high level of sulfur dioxide in wuhan may be a sign of mass cremation of victim of the coronavirus
affirms that the outbreak of disease and pandemic corresponds to the electoral year,fake,claim that disease outbreak and pandemic correspond with election year
nurse say brazilian state and municipality earn federal funds for each death recorded for covid,fake,nurse say brazilian state and municipality earn federal funding for every death recorded for covid
indian social activist banditi desai arrested for buying liquor during the covid blockade,fake,indian social activist trupti desai arrested for buying liquor during the covid lockdown
covid has infected more meat packers in the u s than the health worker,fake,covid ha infected more meatpackers in the u s than health care worker
dhs report hidden virus severity pig to accumulate covid dhsreport,fake,dhs report china hid virus severity to hoard supply covid dhsreport
a photo showing people infected with coronavirus found on the sidewalk in porcelain,fake,a photo show people infected with coronavirus lying on the sidewalk in china
properly protected quarantine passenger analyses of cornwall coronavirus,fake,analysis are quarantined passenger adequately protected from cornwall coronavirus
"in a health system of georgia, more patients in the coveted system than patients in the coveted system have been black.",real,more than of covid patient at one georgia health system have been black
there is no science or data indicating that the child is at risk of covid,fake,there is no science or data to suggest that kid are at risk from covid
"triumph saved wall street, but on the main street",fake,trump bailed out wall street but not main street
criminal investigation launched in a nh trust to denounce the precarious maternity rule,real,criminal inquiry launched into allegation of poor maternity standard at an nh trust
please convince your patient to wear a mask in public via paulpauwaert,real,please convince your patient to wear mask out in public via paulpauwaert
twitter suspended virologist chinese virologist who say covid wa made in wuhan lab nypost,fake,twitter suspends chinese virologist who say covid wa made in wuhan lab nypostより
so coronavirus wa no of a road kill murc wuhan ininstitutofvirologylaboratory,fake,so coronavirus wa not from a road killed bat wuhaninstituteofvirologylaboratory
indian armed force greetings coronawriers together we can fight coronavirus,fake,indian armed force salute the coronawarriors together we can fight the coronavirus
five helicopters spray disinfectant on the german city,fake,five helicopter are spraying disinfectant over german city
indiafightscorona total active case account status in indian country willwin icmrdelhi,real,indiafightscorona state account for of total active case in the country indiawillwin icmrdelhi
multiple study all said for decade mask does not work with virus,fake,multiple study all said for decade mask do not work with virus
half day of death coveted falling down during the weekend,real,the day average for covid death dropped below over the weekend
a viral video supposedly from italy showing a child screaming for his mother who died from coronervirus,fake,a viral video purportedly from italy show a child cry for his mother who died due to coronavirus
a shot of flu can make someone test positive for covid,fake,flu shot can make someone test positive for covid
government sex lockdown rule explained,fake,the government s lockdown sex rule explained
who approves antimalarial chloroquine for covid,fake,the who approves antimalarial drug chloroquine for covid
an israeli scientist has developed a covid vaccine,fake,israeli scientist have developed a covid vaccine
under a judgment of the supreme court of stayat home order are illegal and can be ignored with impunity,fake,under an supreme court ruling stayathome order are illegal and can be disregarded with impunity
brazilian parliament went to a hospital that should take in patient covid and found wa empty,fake,brazailian parliament went to a hospital that should take in covid patient and found it wa empty
there is case of news coronavirus in the city of maturín,fake,there are case of the news coronavirus in maturín city
an italian tv report rai prof coronavirus wa created in laboratory by the chinese government,fake,a news story by italian tv rai prof coronavirus wa created in lab by chinese government
triump media lawyer age bleeding donaldtrump virus conspiracy theories dictatorship vaccine,fake,triump advocate middle age bloodletting donaldtrump virus conspiracytheories dictatorship vaccine
president trump urged people to ingest or inject disinfectant to a coronavirus treatment,fake,president trump urged people to ingest or inject disinfectant a a treatment for coronavirus
hospital ship leads to disaster relief for coronavirus,real,hospital ship steer towards disaster relief for coronavirus
the reopening of the school has caused an explosion of pollution in france,fake,reopening school ha caused a flareup of contamination in france
post claim asian hong kong pig and avian flu each kill more people than crownviruses,fake,facebook post claim the asian hong kong swine and bird flu each killed more people than coronavirus
people screaming allahu akbar akbar in europe after the coronavirus outbreak,fake,people shouting allahu akbar in europe after the coronavirus outbreak
a post-claim study showing that the flu vaccine will increase the susceptibility of a person to covid,fake,a post claim study show the flu shot will increase a person s susceptibility to covid
none of the pregnant women who experienced na stillbirth had a covid symptom,real,none of the pregnant woman who experienced stillbirth had covid symptom
image showing the state of a flooded covid room in a hospital in bihar,fake,image showing the condition of a flooded covid ward in a hospital in bihar
glad africans don't live in america crown virus satire irony,fake,african glad they dont live in america coronavirus satire irony
drdavidsamadi dr samadi do you think covid is bioengineer,fake,drdavidsamadi dr samadi do you believe covid is bioengineered
before the economic crisis caused by the coveted state economy wa at its peak never,fake,prior to the economic downturn caused by covid the united state economy wa at it greatest ever peak
quarantine patient video show dancing in a covid center in mumbai,fake,video show quarantined patient dancing in a covid center in mumbai
stage of the vaccine launch phase in july expert say,real,phase covid vaccine trial launching in july expert say
nova recommends encouraging children under 4 to masturbate,fake,new who guideline recommend encouraging child under four to masturbate
an intriguing study link covidrelated depression covidrelated depression to change in cns it this week clinical trend,real,an intriguing study link covidrelated depression to change in the cns it this week clinical trend
nurses are prone to receive a covid vaccine according to a new medscape survey,real,nurse are le likely to receive a covid vaccine according to a new medscape survey
a list of audio messages five ways to prevent coronavirus,fake,an audio message list five way people can prevent the novel coronavirus
the covid is now the number of cause of death in the u,real,covid is now the number cause of death in the u
france need test for it population or paris envied test to algeria,fake,france need test for it population however paris sent test to algeria
colombia is the last country in coronavirus test ranking,fake,colombia is the last country in the coronavirus test ranking
the coronavirus has caused the sale of convertible to collapse by cars beachboys beachboys convertible car chevrolet,fake,the coronavirus ha caused sale of convertible to plummet by car beachboys convertiblecars chevrolet
coronavirus: coronavirus travel and hospitality stock hit for fear of a second national blockade,real,coronavirus travel and hospitality stock hit by fear of second national lockdown
ocular prolongation of the insolvency measure,real,coronavirus minister eye extension of insolvency measure
a website stating that china has confirmed that the patient zero had a bat,fake,a website claiming that china ha confirmed that patient zero had sex with a bat
elon musck to new new baby get a job baby covid elonmusk achristmascarol,fake,elon musck to new baby get a job kid christmas covid elonmusk achristmascarol
ema s chmp s chmp recommends approval of filgotinib for,real,ema s chmp recommends approval of filgotinib for ra
"local man sick to death, fucking audience on the coronavirus",fake,local man sick to fucking death hearing about the coronavirus
covid found in toilet paper deadly virus strain race quickly in tissue fibers,fake,covid found in toilet paper strain of deadly virus breed rapidly in tissue fibre
before the economic crisis caused by the coveted state economy wa at its peak never,fake,prior to the economic downturn caused by covid the united state economy wa at it greatest ever peak
qq instant messages announced that the true number of deaths,fake,qq instant messaging announced the real death toll is
the video of terrible conditions of a covivid pavilion is of delhi hospital,fake,the video of terrible condition of a covid ward is from delhi hospital
near patient with covid t1d required hospitalization with low mortality,real,about of patient with t1d covid required hospitalization with low mortality
coronavirus that breaks coronavirus corona virus finally died today in india the cause of shock,fake,coronavirus breaking corona virus finally died today in india due to shock
france need test for it population or paris envied test to algeria,fake,france need test for it population however paris sent test to algeria
israeli doctor says it's dangerous to wear a mask,fake,israeli doctor say it is dangerous to wear mask outside
in west virginia overdoses have increased during the covid pandemic,fake,in west virginia overdoses have increased by during the covid pandemic
karaoke night coronavirus coronavirus related to an outbreak of covida a self-insulated advertising client,real,coronavirus karaoke night linked to covid outbreak a pub customer told to selfisolate
the only person responsible for the failed covetous response is donald trump,fake,the only person responsible for our failed covid response is donald trump
lockdown lockdown traced u approaching say a couple in all uk,fake,lockdown brought u closer say one couple in whole uk
a case of coronavirus wa confirmed at the hospital of the school of medicine in istanbul,fake,a coronavirus case wa confirmed in the istanbul medical school hospital
a man wondered if it was worth ordering some amazon to this stage amazon coronavirus,fake,man wondered if it wa worth ordering anything from amazon at this stage coronavirus amazon
coronavirus transmission rate coronavirus could now be a high to no official uk figure show,real,the coronavirus transmission rate could now be a high a in the uk official figure show
timeline of the triumphant administration trunkline early messages about the coronavirus pandemic,fake,timeline of the trump administration early messaging on the coronavirus pandemic
blind people blind is no obstacle talent covid positivevibes song sharukkhkhan zalima coronavirusindia,fake,blind people is not obstacle talent covid positivevibes song sharukhkhan zalima coronavirusinindia
pm serbian pm claimed that the citizens of south korea have to pay to be tested for the coronavirus,fake,serbian pm stated that citizen of south korea have to pay to get tested for the coronavirus
video show the first coveted patient in the hospital dhanbad,fake,video show the first infected patient of covid at dhanbad hospital
the world health organization has announced that sarscov can remain in the air for 8 hours,fake,the world health organization announced that sarscov can stay in the air for eight hour
stage of the vaccine launch phase in july expert say,real,phase covid vaccine trial launching in july expert say
the mortality report wa lead to death our data set,real,the reported death toll wa bringing our dataset up to death
a tiger in the zoo bronx positive test for the zoodirector coronavirus coronavirus tiger bronxzoo,fake,a tiger in the bronx zoo test positive for the coronavirus coronavirus tiger bronxzoo zoodirector
israel has made the first country in the world to announce a second blockade of the national coronavirus,real,israel ha become the first country in the world to announce a second national coronavirus lockdown
coronavirus patient zero had sex with bald,fake,coronavirus patient zero had sex with bat
buddhist smugly reflects that at least he has the present moment life coronavirus nashville buddhism,fake,buddhist smugly reflects that at least he ha the present moment life coronavirus nashville buddhism
azithromycin and ivermectin are effective medicines to cure covid,fake,azithromycin and ivermectin are efficient medicine to cure covid
explain progressive s no martial law s right viral coronavirus pandemic pandemic covid freedom,fake,progressive explain it s not martial law it s viral law coronavirus pandemic covid freedom
after husband tested positive for coronavirus wife fled bangalore to agra in india,fake,after husband tested positive for coronavirus wife fled from bangalore to agra in india
são paulo horario do ay municipal coronavirus test by phone,fake,são paulo city hall schedule coronavirus test by phone
according to the plandemic documentary the real pandemic comes from the outbreak of sars,fake,according to the plandemic documentary the actual pandemic come from the sars outbreak
an official mask to combat the freed wa romance coronavirus,fake,an official mask to combat the novel coronavirus wa released
madrid government has announced that the student will have to make up class during the summer,fake,madrid government ha announced student will have to makeup class during summer
you shouldn't have to say that coronavirus coronavirus is a bad idea via childrensphila,real,you shouldn t have to say it coronavirus party are a bad idea via childrensphila
the active case rt pibindia is only 5o or of the total case recovery index to the test number,real,rt pibindia active case are only 5th or of the total case recovery rate stand at number of test
salwar baba ramdev admitted to taking doses of cow urine to avoid crown virus,fake,salwar baba ramdev admitted to aiims taking over dose of cow urine to avoid corona virus
sharing the coveted message declared a punishable crime in india,fake,sharing covid message declared a punishable offence in india
tamazonx that probably reason to triumph favorite covid drug covid is chloroquine,fake,tamazonx it probably the reason trump favorite covid drug is chloroquine
summer camp closure closure sheet killer masked with too long free sexy covid sexteens sexy,fake,summer camp closure leaf masked killer with too much free time covid sexyteens
u s not have enough monkeys for vaccine testing and porcelain has suspended export,real,the u s doesnt have enough monkey for vaccine testing and china ha halted export
black buck video crossing a road in kaziranga national park in the middle of covided lockdown,fake,video of black buck crossing a road in kaziranga national park amid covid lockdown
coronavirus center worker we test less than people per day we have the ability to,real,coronavirus testing centre worker we tested fewer than people a day we have capacity for
bon jovis contest of songs about the virus coronar encounter with the attack of covid of writer of humor online,fake,bon jovis song contest about the corona virus meet with aggression from online humor writer covid
buddhist smugly reflects that at least he has the present moment life coronavirus nashville buddhism,fake,buddhist smugly reflects that at least he ha the present moment life coronavirus nashville buddhism
the tear gas is more dangerous in a warning from an expert in pandemic pandemic coronavirus,real,tear gas is more dangerous in a coronavirus pandemic expert warn
the death of known coves also remained close to the level they had been to during the last week.,real,known covid death also remained near the level theyve been at for the past week
coronavirus simulation critical coronavirus get jump up codechecking nature effort,real,critiqued coronavirus simulation get thumb up from codechecking effort nature
a video says the vatican confirmed pope francis and two auxiliaries tested positive for coronavirus,fake,a video say the vatican confirmed pope francis and two aide tested positive for coronavirus
a photo showing a medical team sent by japan to wuhan,fake,a photo show a medical team of sent by japan to wuhan
major label unfortunate government a more coveted face capital measure crownvirus last,real,london mayor label government hapless a capital face more covid measure coronavirus latest
alabama city combat pandemic america coronavirus pandemic pandemic covid covid covid kitchen alert,fake,alabama town fight pandemic america coronavirus pandemic covid kitchen warning
the image show the covidant patient and the state of the coronavirus isolation room in pakistan,fake,the image show covid patient and the state of coronavirus isolation ward in pakistan
prolonged use of mask causes lack of oxygenation,fake,prolonged use of mask cause lack of oxygenation
if the flu and coronavirus will collide we'll get into real trouble,real,if flu and coronavirus collide we re in for real trouble
people living in the quarantine center refuse to eat food it wa cooked by the lower caste woman,fake,people living in quarantine centre refuse to eat food a it wa cooked by lower caste woman
video suggesting self-control of covidium containing breathing,fake,viral video suggesting selfcheck for covid by holding your breath
state reported positive today positive from last monday,real,state reported positive today up from last monday
smart urban hospital launched by the bihar bihar government during the treatment of coves under swimming pool,fake,smart city hospital launched by bihar government during covid treatment under swimming pool
fda warns that no more use of hydroxychloroquine to treat covid,real,fda warns no more use of hydroxychloroquine to treat covid
china is looking for judicial approval to kill everyone who tested positive with coronavirus,fake,china is seeking court s approval to kill all who tested positive with coronavirus
"if this pandemic does not create significant changes in the home industry,",real,if this pandemic doesn t create significant change in the nursinghome industry nothing ever will
a photo show brian kemp kemp posing with greyory mcmichael,fake,a photo show brian kemp posing with gregory mcmichael
"according to the plandemic document, the flu vaccine contains coronavirus",fake,according to the plandemic documentary the flu shot contain coronavirus
triump media lawyer age bleeding donaldtrump virus conspiracy theories dictatorship vaccine,fake,triump advocate middle age bloodletting donaldtrump virus conspiracytheories dictatorship vaccine
the child is almost immune to this disease,fake,child are almost immune from this disease
confused about the coronavirus mortality rate and the case-fatality mortality rate we explain the difference here,fake,confused about mortality rate for coronavirus and casefatality rate we explain the difference here
pump say significant evidence that a new coronavirus coronavirus emerged from chinese laboratory,fake,pompeo say significant evidence new coronavirus emerged from chinese lab
a child is not allowed to fire their parents before being hospitalized by a covid,fake,kid are not allowed to say goodbye to their parent before being hospitalized for covid
china is looking for judicial approval to kill everyone who tested positive with coronavirus,fake,china is seeking court s approval to kill all who tested positive with coronavirus
covid done in the covid doesne not affect child child child can not infect other people either,fake,covid doe not affect child child cannot infect other people either
israel has found a cure and a vaccine for the coronavirus,fake,israel ha found a cure and a vaccine for coronavirus
"to medical triumph, we had an empty closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet, a closet",fake,trump medically we had empty cupboard the cupboard i say the cupboard were empty
"celebration of ramnavmi in akbarpur of akbarpur today, but we should only bash tables jamat of nizamuddin makraz",fake,ramnavmi celebration in akbarpur up todaybut we should only bash tabligi jamat of nizamuddin makraz
icmr coronavirus test approves 1000th lab rtpcr cross millionmark test via btindia,real,coronavirus testing icmr approves 1000th lab rtpcr test cross millionmark via btindia
man beaten in indian deory in time of blocking,fake,man beaten in deoria india in lockdown time
the first test result for the modern vaccine are disappointing,fake,the first test result for the moderna vaccine are disappointing
to whatsapp message supposedly from a chinese doctor and cnn who say coffee can prevent coronavirus,fake,a whatsapp message allegedly from a chinese doctor and cnn that say coffee can prevent coronavirus
presidential elections u s are canceled because of coronavirus,fake,the u s presidential election is canceled due to coronavirus
in belém brazil there was no death of covid there was no death of covid in belém brazil,fake,there were no covid death in belém brazil on may and may
you had the whole block to read to me and you haven't read a page yet.,fake,you had all of lockdown to read me and you still have not read a page
a from tanzania and zambia had confirmed the case of punching of the new coronavirus,fake,a of tanzania and zambia had confirmed fist case of the new coronavirus
american survey are very concerned about access to health care during the covid pandemic,real,survey of american are very concerned about access to health care during the covid pandemic
darin lahood declared on may in a tv interview,fake,darin lahood stated on may in a tv interview
do not swallow plan of british tip coronavirus,fake,don t get ill britain s point coronavirus plan
"report coronavirus, apparently causing people to shit more than usual",fake,report coronavirus apparently causing people to shit more than usual
there are no scientific studies showing that sarscov causes covid to exist,fake,there are no scientific study that prove sarscov which cause covid exists
the number of covid infection in japan is longer than the officially announced,fake,the number of covid infection in japan is time higher than officially announced
more people died because they knew chollary that coronavirus,fake,more people have died from knowing hillary than coronavirus
university of medicine in vienna published a study on ibuprofen and coronavirus,fake,medical university in vienna ha published a study about ibuprofen and coronavirus
people screaming allahu akbar akbar in europe after the coronavirus outbreak,fake,people shouting allahu akbar in europe after the coronavirus outbreak
there are no scientific studies showing that sarscov causes covid to exist,fake,there are no scientific study that prove sarscov which cause covid exists
kenyan electoral commission has insinuated to postpone general elections,fake,kenyan electoral commission iebc ha hinted at postponing the general election
the same little boy died of covid covid in three different countries i still don't think the medium is fake news,fake,same little boy died of covid in three different country still don t believe the medium is fakenews
demi loved to talk about those coveting rumors and the text of the president triumph donaldtrump whitehouse,fake,demi lovato talk about those covid rumor and the text from president trump donaldtrump whitehouse
bill gate is plotting to use covid tests and a future vaccine to track people with microchips,fake,bill gate is plotting to use covid testing and a future vaccine to track people with microchip
triumph to want a billion for coronavirus will spend it on wall,fake,trump want billion for coronavirus will spend it on wall
the image show a u k national health service nh infographic claiming that covid done does not exist,fake,the image show an u k national health service nh infographic claiming covid doe not exist
i'd do a press event in may i'd never be asked about coronavirus,fake,i would do press event in may i would never be asked about coronavirus
the frenzy at retail frenzy in malaysian stock is configured to face a reality check,fake,the retail frenzy in malaysian stock is set to face a reality check
