,tweet,label
56,on the ncdc directly contacted a twitter user who mentioned his friend who returned from uk had runny nose but could not reach authority for testing within hour of communication with u via dm a sample wa collected we re committed to doing our best,real
57,a whatsapp forward ha gone viral which claimed that a vaccine for coronavirus ha been discovered the viral forward also claim that the treatment for coronavirus is mentioned in india intermediate zoology book,fake
58,rt drtedros a covid 19 vaccine will be a precious resource unless we have an international plan to manage it fairly there will be unnec,real
59,our daily update is published state reported 647k test 38k case and death the number of case reported is the lowest since june,real
60,several social medium user claimed that there wa a massive crowd at bangalore s kr market on the occasion of varamahalaxmi flouting social distancing norm this claim is misleading a video is being passed off a a recent one covid 19 bangalore,fake
61,this rise in death is concentrated in state with large outbreak texas california and florida all reported their single highest day of death for the entire pandemic today,real
62,sanitizer will do nothing for the coronavirus,fake
63,three doc have been getting attention for their letter to bmj urging more attention for mild yet very long term form of covid,real
64,the coronavirus is only a dangerous a a flu the disease have the same death rate air pollution and bad hygienic condition in italian hospital hospital germ are responsible for the many death case and only of the whole population is endangered by covid,fake
65,news lockdown ha now lasted so long child could have put their shoe on twice,fake
66,one hundred day after the 1st covid 19 case wa recorded in nigeria the ncdc national reference laboratory ha supported more laboratory to develop capacity for covid 19 testing watch this report by ntanewsnow on the lab including reflection by the ptfcovid 19 chair,real
67,quote joe biden a saying people who have never died before are now dying from coronavirus,fake
68,the total number of confirmed case of covid is now which is the number we report to the world health organization there is no one in new zealand receiving hospitallevel care for covid,real
69,correction on 3rd of april we reported new case of covid 19 in nigeria an error ha been discovered in this report a follows there were new case of covid 19 in nigeria the 26th case wa a repeat result of a previously confirmed case and not a new case,real
70,new case of covid 19 lagos river ogun gombe oyo imo delta kano bauchi edo katsina kaduna anambra jigawa kebbi ondo nasarawa total of case of covid 19nigeria discharged death takeresponsibility,real
71,approval from ayush ministey time for particular lobby to buy bournol,fake
72,facebook post that compare death in italy during coronavirus pandemie with death during seasonal flu outburst from to the post say that during seasonal flu outburst people died in italy and it wa the real problem and coronavirus death compared to this arent serious,fake
73,indiafightscorona mohfw_india urge state ut to mandatorily retest all symptomatic negative case of rapid antigen test through rtpcr state ut to ensure that no positive case are missed to curb the spread of infection detail staysafe,real
74,indiafightscorona covid 19 recovery exceed active case by more than million there ha been more than time jump in the average weekly recovery from the first week of july to last week of august,real
75,covid 19 spread mainly among people who are in close contact with one another le than ft wear a mask in public when around people not living in your household especially when social distancing is difficult to maintain wearamask worldmaskweek,real
76,a of today of all the sample tested for covid 19 have been positive currently bed isolation icu and ventilator supported are vacant in telangana covid __19 covid _19 covidー 19 covid coronaupdates coronavirusupdates coronaviruspandemic coronavirus,real
77,ncdc is committed to strengthening covid 19 response in all state in nigeria our rapid response team in kaduna state is supporting through activity including sample collection at quarantine center assessment of an additional isolation centre training of health worker,real
78,tablik jamaat chief maulana saad if people get coronavirus india will be destroyed the country will be in our possession,fake
79,hand dryer are not effective in killing coronavirus whatsappforwards are not always true they can be misleading false or satire dont believe everything you see verify before sharing and become a newschecker and make mainbhinewschecker your signature,fake
80,a florida outbreak surge there have been a lot of question about the state data here a very deep dive by olivierlacan and notoriousrsg into what we know whats wrong and whats missing,real
81,maine governor mandate dog cone wearing for restaurant staff instead of mask coronavirus josephbiden,fake
82,your household plan for covid 19 should include talking with the people who need to be included in your plan planning way to care for those who might be at greater risk for serious complication learn more,real
83,indiafightscorona india register a record of highest single day recovery more than lakh patient recovered in the last hour staysafe indiawillwin,real
84,a at pm 31st march there are confirmed case discharged death for a breakdown of case by state in real time visit currently lagos fct oyo osun ogun kaduna enugu edo bauchi ekoti river benue,real
85,photo show the last meeting of a turkish doctor who died due to covid with his child in munich,fake
86,one state situation worth highlighting is michigan large number of positive death rising and an uncertain testing situation very worrisome overall,real
87,only aggressive action combined with national unity and global solidarity can turn the covid 19 pandemic around drtedros,real
88,visit to stay uptodate on the latest covid data for your state or county our warning system focus on key metric infection rate positive test rate icu headroom used contact traced data update every day so be sure to check back regularly,real
89,state including u uk and australia request pm modi to head a task force to stop coronavirus,fake
90,yesterday our laboratory completed test that brings the total number of test completed to date to,real
91,we factchecked a range of statement from the second night of dnc 2020 here are highlight dealing with coronavirus case number and the trumpadministration s position on the aca,fake
92,white house launch trumpbranded coronavirus medicine,fake
93,video of tabligi pilgrim who were moving via truck to spread covid in india,fake
94,cold weather will kill coronavirus no wait hot weather will kill corona did you also fall for these contradictory hoax dont fall the fake news misinformation participate in our mainbhinewschecker initiative we will fight the infodemic together coronavirusfacts,fake
95,a twostent approach to complex coronary bifurcation lesion yielded improved clinical outcome,real
96,beware of a donald trump vaccine jaredkushner billbarr,fake
97,solidarity is needed to provide a joint solution to the covid 19 pandemic the covax vaccine facility is the critical mechanism for joint procurement pooling risk across multiple vaccine which is why i sent a to every member state encouraging them to join drtedros,real
98,indiafightscorona india ha reported the highest number of total covid 19 recovery with more than lakh,real
99,coronavirusupdates covid 19 testing status update icmrdelhi stated that sample tested upto september sample tested on september staysafe indiawillwin,real
100,rt mygovindia india cross million landmark of covid test in hour indiafightscorona,real
101,_a vaccine for the new coronavirus ha been created by u scientist and will be ready to use from next sunday _,fake
102,httweets not for covid but to prevent other infection after age of consult your doctor for pneumococcal conjugate vaccine or pcv pneumococcal polysaccharide vaccine or ppsv i found them useful for my wife,fake
103,access the covid 19 management assessment and response cmar tool here,real
104,lockdown survival juice get yours here,fake
105,georgia ha also issued a stay at home order until april 13th,real
106,the latest cdc covidview data show that covid 19associated hospitalization rate are highest among american indian alaska native black and hispanic latino existing disparity can make these group more vulnerable to covid outbreak,real
107,yesterday our laboratory completed test the seven day rolling average is that brings the total number of test completed to date to,real
108,rt depsechargan covid 19 ha led to an in telehealth service have you utilized these virtual appointment visit,real
109,state reported over 50k case for the first time today another new record the national positivity rate is over now despite ever higher testing level hospitalization are now at latemay level,real
110,study age had the highest rate of coronavirus transmission via webmd,real
111,you see suicide rate are skyrocketing now,fake
112,a on july 6pm out of all the active covid 19 case are in icu are on ventilator and require oxygentherapy covid __19 covid _19 covidー 19 coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates,real
113,why censor her dr li meng yan claim covid wa bioengineered by red c via youtube,fake
114,our daily update is published we ve now tracked million test up 132k from yesterday a bit lower than last weekend number note that we can only track test that a state report and not all state report all test for detail see,real
115,in close residential setting such a psychiatric facility promptly identifying covid 19 case applying adapted infection prevention control procedure are critical to protect patient staff see new report on one psychiatric facility cdcmmwr,real
116,drinking tea and hot water kill the virus lemon slice in warm water may save your life it recommended to keep your money in a sealed plastic bag a conspiracy theory suggests china is benefiting from the pandemic vinegar is good for cleaning your hand,fake
117,the covid 19 test reagent which nigeria ha received procured recently can only be used for pcr test in existing molecular laboratory there have been important development such a use of genexpert machine we re also expanding our testing capacity using this technology,real
118,coronavirus you can not buy anything with these they are totally useless chinese yuan becomes just merely paper and trash china coronavirus economy wuhan,fake
119,a tweet from president donald trump that say before the u s issue financial assistance to individual to deal with the coronavirus pandemic we will go through your social medium history from the last year and search for any post with notmyp,fake
120,there are nine previously reported case that are now considered to have recovered from covid our total number of active case is of those are imported case in miq facility and are community case,real
121,the latest cdc covidview report show the percentage of death attributed to covid 19 increased for week in july after being on the decline since midapril this percentage ha decreased for the past week but remains above the epidemic threshold,real
122,a video claim that bill gate made a presentation to the cia on covid vaccine for modifying the brain of religious fanatic,fake
123,ncdcinthenews the nigeria centre for disease control ha warned nigerian to beware of scammer posing a the centre to defraud unsuspecting citizen read,real
124,social gathering of more than six people will be banned across england wale and scotland from tomorrow but what are the new rule what happens if you break them and how do they differ across the nation,real
125,in texas too daily average death have risen in the last two week read more on the complexity of lag time changing demographic and covid death here,real
126,rt cdcdirector to get covid 19 under control in the u we need to all wear face mask social distance and wash hand frequently more,real
127,our daily update is published we ve now tracked million test up 450k from yesterday for detail see,real
128,due to the large number of people who will refuse the forthcoming covid vaccine because it will include tracking microchip the gate foundation is now spending billion to ensure that all medical and dental injection and procedure include the chip,fake
129,we reached million cumulative case today le than a month after reaching million,real
130,you can help slow the spread of covid 19 practice socialdistancing keep at least six foot of physical distance between yourself and others wear a cloth face covering when in public more tip at,real
131,audio from whatsapp in which the head of cardiology at the gregorio marañón hospital state that we are in a moment of uncontrolled coronavirus infection,fake
132,prime minister boris johnson say we are a long way off having pregnancystyle covid 19 test and add a soon a those test become available it will be easier for theatre and football stadium to reopen fully,real
133,man ha gone to live in parallel universe alcohol coronavirus whisky,fake
134,the alternative medicine practitioner guide to coronavirus,fake
135,italy went against the who law against covid autopsy and discovered covid is not a virus but a bacterium that clot the blood and reduces the oxygen saturation,fake
136,post claim that sister of bharatiya janata party leader kapil mishra married a muslim man,fake
137,new symptom have been added to the list of symptom associated with covid along with fever cough and shortness of breathe cdcgov ha added chill repeated shaking with chill muscle pain headache sore throat and new loss of taste or smell,real
138,a post shared more than time on facebook during the novel coronavirus pandemic say bill gate want digital tattoo to check who ha been tested and asks if it would be like holocaust victim have,fake
139,indiafightscorona following the national trend state ut have more new recovery than new case,real
140,meditate your way through covid with tracy honeycomb covid _19,fake
141,a photo of people lying in the street is accompanied by a caption implying they are coronavirus victim in china,fake
142,official are skeptical that supply won t address demand during a second wave of covid,real
143,a viral video show a group of doctor airing unproven conspiracy theory about the coronavirus one of the most inaccurate claim come from dr stella immanuel who ha a track record of making bizarre medical claim such a believing in alien dna,fake
144,schoolchildren and their parent could be prioritised for coronavirus test after hospital and care home a the government deal with real challenge in the system a cabinet minister ha told sky news,real
145,correction we noticed an error in our update at 35pm it should be new case of covid 19 have been confirmed in nigeria in fct in bauchi in lagos of the were detected on a vessel are returning traveller are close contact of confirmed case,real
146,review the coronavirus vaccine currently in phase trial via methodsmanmd,real
147,indiafightscorona of the total active case are found in nine most affected state ut new case have been reported in the last hour in the country detail staysafe indiawillwin,real
148,lord_loredo james_gross yeah california ha been a bear for two reason their reporting ha been very irregular until recently they have reported on both side of our daily 4pm commit they have dropped huge pending number the last day only one of which got captured in our daily s,real
149,several site tracking covid hit a grim milestone today more than death since the pandemic began our figure haven t yet reached that level here s why,real
150,there are covid 19 govt testing lab in agra uttarpradesh kindly refer to the following link for detail covid __19 covid covid _19 covidー 19 covid 19india corona coronavirus coronavirusindia coronaviruspandemic,real
151,indiafightscorona covid 19 doe not even spare alcoholic so bust this myth and stop consuming alcohol to safeguard yourself from coronavirus better be at home and take precautionary measure to fight against coronaviruspandemic staysafe indiawillwin,real
152,joe biden and the democrat want to prosecute american for going to church but not for burning a church,fake
153,dr anthony fauci ha known for year that chloroquine and hydroxychloroquine will not only treat a current case of coronavirus but prevent future case,fake
154,there are death a year from swimming pool but we don t shut the country down for that,fake
155,an inmate who wa released from prison under covid humanitarian house arrest wa arrested again in campo bom police officer found more than kg of cocaine in his house and several gun,fake
156,we d also like to call attention to the incredible job florida and healthyfla are doing releasing data not only do they provide hospitalization rate and labbylab testing result but a ton of other data,real
157,indiafightscorona one of the lowest globally india s case fatality rate and sliding health ministry issue faq on better clinical management of covid patient in icu staysafe indiawillwin,real
158,a person with a cold or flu will test positive for covid,fake
159,claim the fund of fund part of the covid 19 stimulus will mobilise equity of r cr for msmes fact a similar fund set up in to mobilise r cr for startup disbursed only of planned amount,fake
160,detainee in mpimba central prison burundi died due to covid and that some contracted the coronavirus,fake
161,virtually all british physician feel concern about the indirect impact of coronavirus on their patient,real
162,now we re moving to a new phase where many of u are heading back to work and school for the first time in a while stay healthy and stay safe new zealand,real
163,bechara covid se down hai else he would have give a nice acceptance speech dad this is for you,fake
164,say the coronavirus wa engineered by scientist in a lab,fake
165,arizona reported more case today than on any previous single day,real
166,the prime minister ha put his faith in operation moonshot but meanwhile on planet earth there wa no nh test available for several high infection area say labour deputy leader angela rayner at pmqs follow live analysis,real
167,video of a doctor at a press conference who said,fake
168,5g is the cause of the coronavirus pandemic,fake
169,globaltimesnews it doesn t effect randians coz they have cowurine for cure after all they have bad smell to tackle covid with cowdung,fake
170,the only way to tell if a kid just ha a cold and can go to school is robust rapid testing for coronavirus and right now we dont have it via methodsmanmd,real
171,at the time they did not meet the case definition for testing for people with defined symptom who had travelled from or transited through china italy had not at that point been identified a a country of concern this meant the new zealand household wa not tested at the time,real
172,many state reported a huge number of test including a known backlog clearing from ma 30k ny reported almost 50k test tx over 20k al ca fl ga il ma ny tn tx all reported over 10k test,real
173,some unexpected number came from indiana today despite only having confirmed case the state said today it ha covid patient in the icu and on ventilator thats not too far from california icu count and closing in on pennsylvania and louisiana vent usage,real
174,opening ceremony of london olympics wa a projection of coronavirus pandemic the hospital bed apperaing on the scene during the opening show and boris johnson in a hospital bed prove that the spread of the disease wa planned in advance,fake
175,who covid 19 transmission may include viral particle that remain airborne for longer than previously understood,real
176,the who banned autopsy and italy changed the protocol for the coronavirus,fake
177,according to the cdc so far this year florida ha had death from covid and from pneumonia average pneumonia death in florida from for the same time period are,fake
178,there were an estimated new coronavirus case every day in england during the first week of september,real
179,reported death rose to today important to recognize that this data lag,real
180,the underlying cause of death in the vast majority of death certificate that mention covid is the coronavirus,fake
181,in response to the pandemic pennsylvania governor tom wolf shut down nonessential business and limited gathering in may a federal judge s rule that these covid restriction were unconstitutional violating the first and fourteenth amendment thehill,real
182,there s a critical lack of representative clinical image of covid associated skin manifestation in patient of color,real
183,florida smash record for most new covid case any state ha in a single day,fake
184,dna vaccine injecting genetic material into the host so that host cell create protein that are similar to those in the virus against which the host then creates antibody,real
185,the claim stated that india top business conglomerate tata group chairman ratan tata said it not time to think of profit but to think of survival,fake
186,we have one of the lowest mortality rate in the world from covid,fake
187,our weekly update is posted and there finally some good news nationally case are declining and the state with the worst outbreak seem to be turning a corner,real
188,the remedy for the corona virus may have existed for a long time old malaria drug seems to work against coronavirus symptom made in holland,fake
189,madrid ha enabled the phone number to request prescription,fake
190,claim that govt is providing money to bereaved family of covid victim is false,fake
191,four new case of covid 19 have been confirmed in nigeria are in lagos state and in fct two of these case are returning traveller a at pm on the 23rd of march there are confirmed case of covid 19 in nigeria have been discharged with death recorded,real
192,un secretarygeneral antónio guterres ha told sky news coronavirus ha put the eradication of poverty in question and taken some aspect of progress year back get the latest coronavirus news here,real
193,indiafightscorona of the new recovered case are being reported from ten state ut viz maharashtra karnataka andhra pradesh uttar pradesh and tamil nadu odisha delhi kerala west bengal and punjab detail staysafe indiawillwin,real
194,there are nine people in hospital in auckland city three in north shore in icu and the rest in middlemore are in icu and considered critical we understand that this is a very difficult time for them and their family we are wishing them a full and speedy recovery,real
195,marionkoopmans dr shi en het wuhan institute of virology deden mee aan dit onderzoek utilizing the sarscov infectious clone we generated and characterized a chimeric virus expressing the spike of bat coronavirus shc in a mouse adapted sarscov backbone,fake
196,it ha been day since the last case of covid wa acquired locally from an unknown source,real
197,coronavirusupdates covid 19 india tracker a on september am confirmed case recovered active case death indiafightscorona indiawillwin staysafe via mohfw_india,real
198,new case of covid 19 lagos katsina oyo kano edo zamfara ogun gombe borno bauchi kwara fct kaduna enugu river case of covid 19 in nigeria discharged death,real
199,a christchurch person discussed yesterday a being under further investigation ha now been confirmed a not a case of covid the investigation ha been closed,real
200,previously they claimed that cow urine cure covid qnd people actually believed it,fake
201,the number of daily test ha been increasing in a steep climb average daily test during the past three week also strongly depict the progress made in enhancement of covid 19 test across the country,real
202,_contact tracing apps have been secretly installed on every android phone _,fake
203,table that compare death from covid with other cause show the new coronavirus is harmless,fake
204,icymi watch cdc expert discus managing chronic illness during the covid 19 pandemic in this facebook live hosted by creakyjoints and the global healthy living foundation,real
205,man find it difficult to eat when wearing a face mask coronavirus facemasks covid 19,fake
206,black patient more likely to be hospitalized due to coronavirus,real
207,virtual rounding clinical exam and lecture covid may permanently change medschool,real
208,claim that indian prime minister modi said one crore ten million covid infected patient have been treated for free,fake
209,the case in managed isolation is a child who arrived in nz from afghanistan via dubai the person ha been in managed isolation at the pullman the person tested positive following the day routine testing,real
210,there is one person receiving hospitallevel care for covid they are in middlemore and are not in icu yesterday our laboratory completed test bringing the total number of test completed to date to,real
211,a video show that bill gate admits the vaccine will no doubt kill people,fake
212,cattle vaccine proof that coronavirus ha existed for year and that there already is a vaccine photo showing the cattle vaccine produced by the american medical company scourguard 4kc,fake
213,man did pa along coronavirus infection at a walmart in louisiana,fake
214,an even better piece of news state reported fewer than death that hadnt happened since march yes there will probably be a larger number of death reported tomorrow a lagging weekend data get posted but it is a significant pandemic milestone,real
215,the private health system began offering antibody test to detect covid at the same time that the ministry of health said it would buy antigen test,fake
216,the novel coronavirus ncov will not last long in the philippine because of it warm climate,fake
217,lockdown forcing woman to realise just how bad her diet is,fake
218,enanthem in a patient with a skin rash is a useful finding to help diagnose covid spanish medical expert suggest,real
219,in future news in our postcovid world some hollywood blockbuster movie are expected to earn a much a in ticket receipt,fake
220,covid 19 ha strengthened pharma negotiating hand,real
221,indiafightscorona if we look at critical case across the country we find that of the total active are on oxygen support are in icu patient are on ventilator support secretary mohfw_india staysafe indiawillwin icmrdelhi,real
222,coronavirusupdates indiafightscorona india reach another record of highest single day covid 19 recovery at pmoindia drharshvardhan ashwinikchoubey pib_india ddnewslive airnewsalerts icmrdelhi covidnewsbymib covidindiaseva,real
223,two more grim milestone too over people in the u s have died people have been hospitalized at some point were seeing more than total positive test in our data,real
224,yearold indian textbook list aspirin antihistamine and nasal spray a treatment for covid,fake
225,this includes ensuring that no one leaf a managed isolation facility without having had a negative covid test ensuring that all people in isolation are tested on around day and,real
226,if it is true mybmc commissioner mayor responsible for recent covid grimming position sack those corrupt burecrats cmomaharashtra,fake
227,new case of covid 19nigeria plateau enugu river lagos fct kaduna ekiti kano taraba anambra edo oyo delta ogun abia bayelsa ebonyi osun confirmed discharged death,real
228,man read the purple cloud by m p shiel and start to get a bit frightened coronavirus apocalypse pandemic,fake
229,we have people reported a having recovered from covid more people than yesterday this is of all case there is just one person receiving hospitallevel care for covid they are not in icu we still have significant cluster,real
230,yesterday laboratory processed test for covid bringing the total number of test completed to date to laboratory are now processing test within hour of receiving them although people should allow four day to be notified of their test result,real
231,rt factchecknet in the absence of clarity and a rash of misinformation the covid 19 pandemic ha created a breeding ground for prejudi,fake
232,however corticosteroid do not help covid 19 patient with mild or moderate disease and can be harmful who therefore recommends the use of corticosteroid only in patient who are severely or critically ill drtedros,real
233,fauci say rushing out covid 19 vaccine could jeopardize testing of others,real
234,the uncomfortable truth is that donald trump left america exposed and vulnerable to this pandemic he ignored the warning of health expert and intelligence agency and put his trust in china leader instead now were all paying the price let me explain how we got here,fake
235,people have been referred for a test that we are awaiting result for,real
236,covid is a man made virus according to the video plandemic,fake
237,_a video purport to show a police officer being beaten ha been viewed ten of thousand of time on facebook and twitter alongside a claim that the assault at a temple in india wa sparked by the officer attempt to enforce a nationwide novel coronavirus lockdown _,fake
238,there also intense competition for sample from confirmed covid case so that new vendor can validate their test we need a nationwide clearinghouse for sample and test,real
239,bill gate didnt say people dont have a choice about being vaccinated for the coronavirus,fake
240,sandylocks is a celebrated legal scholar she s been hosting under the blacklight at the aapolicyforum to look at the intersectional vulnerability that covid lay bare,real
241,kylie minogue say it break her heart that coronavirus ha denied thousand of people the joy of seeing this year s glastonbury festival descend into a hellish mudbath,fake
242,according to hmoindia unlock 3 order school college educational coaching institution will remain closed till 31st august any violation may invite legal action by the district administration under the disaster management act,real
243,back on campus if you go out wear a mask stay foot apart from others and meet in outdoor space learn more about step you can take to help protect yourself and your friend from covid 19,real
244,first city in the world conquers covid with chlorine dioxide this great news ha already been suppressed by the dark power,fake
245,in the middle of a global pandemic the trump administration is still working to gut the affordable care act and rip health care away from million it morally reprehensible they need to drop the lawsuit immediately,fake
246,latest update from minhealthnz covid remains a serious pandemic continuing to affect many country we are not immune to further case arriving on our shore,real
247,social gathering of more than six people are now illegal in england a the coronavirus rule of six come into force,real
248,a of today recoveryrate of covid 19 case in jammuandkashmir is covid 19 covid __19 covid covid _19 covidー 19 covid 19india covidupdates coronavirus coronaupdates coronavirusindia coronavirusupdates coronaviruspandemic,real
249,woman burned her hand while putting on the stove due to high alcohol content in hand sanitiser,fake
250,familiafeeling there is a daily number you can get at any time then there is the current number we tend to do run per day the big midday run where we go a z then updateonly run at night and in the morning,real
251,we always appreciate question about the quality of our data if you see a number that doesnt look right please file an issue at and we will investigate,real
252,there is a nipah virus outbreak in india amidst coronavirus pandemic according to a warning form the who,fake
253,when we know the actual number is much higher a we see here on a sonoma county dashboard,real
254,covid hate woman leader love trump donaldtrump china vladimirputin woman angelamerkel dictatorship,fake
255,trump say he will nuke china if he know for sure they are serving bat soup donaldtrump china coronavirus,fake
256,labour leader sir keir starmer is selfisolating after a member of his household displayed possible coronavirus symptom,real
257,realdonaldtrump i too am widow of distinguished u military officer would never affiliate myself w bidendeep tie to adversary ccp that stuck down uslaunched bioweapon covid on u soil biden w innocent u american spilled blood on his hand no military widow to affiliate w biden,fake
258,french astrologer nostradamus had predicted in that there would be an outbreak of coronavirus in china in,fake
259,rt pib_india five state maharashtra andhra pradesh karnataka uttar pradesh and tamil nadu account for of the active case in t,real
260,it not all bad there is hope if we compare ourselves with many of our neighbour we are still doing relatively well leovaradkar reassures ireland that the new coronavirus restriction have been introduced to reduce the number of new case,real
261,rt cdcenvironment going to a cooling center to beat the heat this summer follow these tip to protect yourself from covid 19 practi,real
262,coronavirus victim are buried in the morning this wednesday in italy rest in peace,fake
263,some people have stopped electricity during night time in dilsukhnagar hyderabad and scattered currency note on the road to spread coronavirus,fake
264,new case of covid 19 lagos katsina edo river kano adamawa akwa ibom kaduna kwara nasarawa gombe plateau abia delta benue niger kogi oyo imo borno ogun anambra case of covid 19nigeria discharged death,real
265,covid s pandemic is fake,fake
266,shands hospital of gainesville florida ha confirmed it first case of coronavirus,fake
267,keep your newborn more than foot away from you a much a possible discus with your healthcare provider about using a physical barrier for example placing the newborn in an incubator while in the hospital,fake
268,the death toll wa relatively low about what it wa last sunday in past week there ha tended to be a weekend lag effect where sunday and monday number are lower than the midweek day,real
