,tweet,label
24,a at pm 2nd april there are confirmed case discharged death for a breakdown of case by state currently lagos fct osun oyo akwa ibom ogun edo kaduna bauchi enugu ekiti river benue,real
25,breathlessness excessive fatigue and muscle ache from covid can last for month,real
26,today s second confirmed case is a year old woman who travelled from delhi and who arrived in auckland on june she wa tested while at the grand millennium managed isolation facility and wa travelling with her partner who ha also been tested and whose result is pending,real
27,parent make impassioned plea to coronavirus kid facebook coronavirus,fake
28,everyone can help prevent spread of covid 19 clara the coronavirus selfchecker can help you decide when to call your doctor if you are feeling sick start using clara here,real
29,a of june more than million covid 19 case have been reported in the u s with state and jurisdiction reporting more than case see how many case have been reported in your state,real
30,police ha free entry in house and building in malaga to identify possible coronavirus infection,fake
31,a of august there are active covid 19 case in kanniyakumari tamilnadu covid __19 covid covid _19 covidー 19 covid 19india covidupdates coronavirus coronaupdates coronavirusindia coronavirusupdates coronaviruspandemic,real
32,the last day have seen nearrecord number of test reported state completed over 10k test time will tell but these number have begun to feel like the new normal,real
33,rt ddnewslive prime minister narendramodi to chair a high level virtual meeting with the chief minister and health minister of seven,real
34,many healthcare system are experiencing covid 19 patient surge new guidance is available for transferring patient to relief healthcare facility learn more,real
35,over the coming week we re going to ask state to address these problem and the others that are sure to arise this important data should be available in the most useful standardized way,real
36,photo purportedly showing tom hank holding a volleyball claiming the hospital staff in australia gave it to him a a tribute and to cheer him up while in quarantine,fake
37,help prevent the spread of covid 19 avoid close contact with people who are sick wash hand often for at least second avoid touching your face and practice social distancing by putting space between yourself and others,real
38,video show celebration in tunisian hospital because tunisia is free from covid,fake
39,patient with covid obesity are at nearly higher risk of death study find,real
40,ema endorses the use of dexamethasone for covid,real
41,cdc first in line should be healthcare and essential worker and those at high risk covid 19,real
42,public health professional need covid 19 resource for sharing check out cdc s onestop shop for covid resource that range from youth sport to travel,real
43,is coranavirus a biological weapon developed by the chinese called wuhan this book wa published in do read the excerpt,fake
44,it s been over six month since the first confirmed case of covid in the united state and president trump still doesnt have an effective plan to contain it spread it an unjustifiable failure of leadership that cost life every day,fake
45,update from the prime minister on covid alert level the prime minister and cabinet have agreed that we are ready to move in to alert level on thursday but we need to do so a safely a possible,real
46,coronavirusupdates statewise detail of total confirmed covid 19 case till august am state with confirmed case state with confirmed case state with confirmed case total no of confirmed case so far,real
47,in our laboratory we found trace amount of the virus on the skin of fruit and vegetable after hour of being touched by another customer who wa infected we recommend our staff to avoid salad do not eat the fruit within hour of purchase or pour some boiling water over the fruit before cutting berry apple cucumber and tomato are the worst because some people eat the skin this explains why the virus is spreading faster in the west than asia most asian do not eat salad and very few people eat the skin of any fruit we have to assume anything that come from outside our home within hour is infected shoe clothes our hair all food hope that help pls take extreme care kind regard,fake
48,jatayler costco s own brand kirkland tuna is the best so don t throw that save it for the next covid lockdown,fake
49,a coronavirus vaccine where doe it stand expert we checked with remain optimistic about a vaccine in the first quarter of,fake
50,yesterday our laboratory completed test bringing the total number of test completed to date to the rolling seven day average is,real
51,claim that despite the fact that the crisis headquarters in the north macedonian town of stip announced that the textile factory in stip will be closed due to established case of coronavirus infection some of the factory are still working,fake
52,there are now over pediatric covid case and they are up since last week,real
53,italian doctor accuse who of misleading the world about covid a covid is caused by bacteria not virus,fake
54,the lockdown wa a difficult decision but a short term strategy to prevent an exponential increase in covid 19 case we will utilise the next week a efficiently a possible and allow the economy restart in order to protect the health of nigerian chikwe_i,real
55,in india there are covid 19vaccine trial are underway the dcgi ha permitted serum institute of india sii to conduct phase trial of the vaccine developed by the oxford university in india,real
56,double dropping two yoke proven to work against covid,fake
57,claim india will have no new covid 19 case by may v k paul of covid empowered group on april fact india ha reported new case every day for a week today may it ha reported new case,fake
58,the total number of confirmed case of covid is now which is the number we report to the world health organization,real
59,update new lab have been included in our molecular laboratory network for covid 19 at upthonline port harcourt rsuth_ph satellite lab port harcourt ubthng pcr laboratory benin this brings the number of lab in nigeria with the capacity to test for covid 19 to,real
60,the cdc did not reduce it covid florida case count and the cdc did not admit any kind of systematic error in it counting of florida coronavirus case,fake
61,the global dietarysupplements market is anticipated to grow at a cagr of around during check the full report food beverage marketresearch marketstrategy usa animalhusbandry covid _19 kerrygroup nutrient immunity energy,fake
62,contact tracing is intense difficult work but our safety and economy depend on it,real
63,corona exclusive we interview woman who eats the odd chinese now then shocking,fake
64,with support from who ooaswaho the africacdc ipc working group ha trained over healthcare worker in month on public health safety measure we ve developed guidance on proper use of face mask ppe environmental decontamination,real
65,yesterday we honoured an invite by h e governorinuwa to commission the molecular diagnostic laboratory at the gombe state specialist hospital this will enhance the prompt detection of covid 19 and other infectious disease in the state takeresponsibility,real
66,test patient vitamin d level to improve immunoresponse to covid 19,real
67,a video show healthcare worker celebrating in a hospital the caption say it wa filmed in messejana hospital in fortaleza brazil after all covid patient were cured and a whole hospital wing wa closed,fake
68,a video show the arrest of the man behind covid a harvard professor who authority found manufactured and sold the novel coronavirus to china,fake
69,dyk you may have covid 19 no symptom if someone from the health department tell you that you ve been exposed do your part to help slowthespread stay home for day monitor your health learn more about contact tracing,real
70,of the new case are already linked to the existing cluster in auckland one of the new case remains under investigation continued,real
71,new zealand is also in a good position with it supply for testing current stock across the country is sufficient to enable test,real
72,sunlight actually can kill the novel coronavirus,fake
73,the un estimate those yemeni who contract coronavirus are dying in record number chief executive of the disaster emergency committee saleh saeed join breakfast to discus channel watch live,real
74,protect yourself from covid 19 when going shopping order online or use curbside pickup if possible wear a face covering practice socialdistancing and wash your hand with soap and water after leaving the store get more tip,real
75,a sample of covid patient reported typical symptom such a fever cough shortness of breath but also symptom like fatigue diarrhea muscle ache headache and chill read more about covid 19 symptom in today cdcmmwr,real
76,great news carona virus vaccine ready able to cure patient within hour after injection hat off to u scientist trump announced that roche medical company will launch the vaccine next sunday and million of do are ready from it,fake
77,sir keir starmer is out of isolation after his child tested negative for coronavirus however he still wont be appearing at pmqs today with labour deputy leader angela rayner to face boris johnson in the house of common instead live update,real
78,the coronavirus is a bacterium that cause thrombosis italy defeated the disease and you should take aspirine apronax zinc and in general drug that lower your blood pressure,fake
79,wearing a mask can cause a fungal infection,fake
80,muslim are hoarding food that is distributed in the lockdown,fake
81,man collapse and dy on the road due to the novel coronavirus,fake
82,trump grabbed coronavirus by the pussy coronavirus ebolavirus,fake
83,a facebook post name several claim about the name covid including that is an acronym for see a sheep surrender,fake
84,covid 19 limit access to the vital support needed for fep recovery,real
85,our daily update is published we ve now tracked million test up 492k from yesterday another alltime high worth noting the day average remains below 400k because of low number early this week for detail see,real
86,if alabama continues to stayathome hospital should not become overloaded however if distancing is relaxed there is a potential for over 48k hospitalization overwhelming the system by may 7th learn more at,real
87,bahrain accused iran of biological aggression that is criminalised by international law by lying about the extent of the outbreak in iran,fake
88,human being now on the endangered specie list coronavirus endangeredspecies extinct,fake
89,coronavirusupdates covid 19 india tracker a on august am confirmed case recovered active case death indiafightscorona indiawillwin staysafe via mohfw_india,real
90,of new confirmed case found concentrated in state ut a total of new case have been reported in the last hour in the country of which maharashtra alone contributed more than followed by andhra pradesh and karnataka,real
91,note supermarket store may operate daily from am to pm market may open from am to pm every day or le pharmacy may continue to operate a usual takeresponsibility and only go out for food or other essential item,real
92,rt drtedros the is suffering but ray of light are visible several covid 19 vaccine are in the final stage of their trial factorie,real
93,image circulating on facebook showing an article published in in the clarín newspaper about the coronavirus they are spread claiming that it is the same coronavirus that now cause covid,fake
94,our daily update is published we ve now tracked million test up 453k from yesterday a new singleday high note that we can only track test that a state report for detail see,real
95,our total number of confirmed case is which is the number we report to the world health organization there is no one in new zealand receiving hospitallevel care for covid,real
96,thousand of doctor say hydroxychloroquine cure coronavirus,fake
97,rt cdctravel new cdctravelnotice covid 19 in russia avoid all nonessential travel to russia more information,real
98,the latest cdc covidview report show that the hospitalization rate for adult are similar or higher than those seen at comparable point during recent flu season while those for child are much lower learn more,real
99,million chinese convert to islam after coronavirus,fake
100,rt cdcdirector teacher school staff we are not defenseless against covid 19 once your school reopens remind student to wash han,real
101,i wanna request to all delhihearts make this a ur dp a our love to our corona warrior and i respect all police doctor and every one who is in our support and fight against corona delhipolice delhipolice narendramodi ltgovdelhi arvindkejriwal,fake
102,lockdown in south africa ha collapsed people are out on the street because due to hunger,fake
103,rt cdcdirector we owe it to our nation s child to take personal responsibility to do everything we can to lower the level of covid 19,real
104,cientists have found a cure for coronavirus and that it is the drinking of bitter gourd juice causing the virus to fade away in two hour is making round on social medium,fake
105,they are both doctor in italy but they are no longer alive they saved life and they died of the corona virus at the last moment this is the picture of their last kiss,fake
106,our total number of confirmed case of covid is now which is the number we report to the world health organization yesterday our laboratory processed test bringing the total number of test completed to date to,real
107,indiafightscorona the following four state of uttar pradesh punjab andhra pradesh west bengal contributed of the fatality in the last hour detail icmrdelhi staysafe indiawillwin,real
108,almost million covid 19 case have now been reported to who and more than death and the pandemic continues to accelerate in the past week the total number of case ha roughly doubled drtedros,real
109,hospital get paid for patient who die from the flu for covid,fake
110,an image of people lying on the street is related to coronavirus,fake
111,metro manila had an rise in covid case in one day,fake
112,khaliahhh _ good for your immune system and helping your body function normally got lot or mineral thats good for u and it help fight cold n flu n shit since it ab to be winter and i do it for covid just cause lol oh and do it with room temp water too,fake
113,hundred of student in dundee have been told to isolate after a suspected covid 19 outbreak in a hall of residence,real
114,the vaccine against the new coronavirus ha existed since,fake
115,the south continues to drive the rising number of covid death today of death reported were in that region,real
116,there is a confirmed case of coronavirus in the macarthur region of australia,fake
117,coronavirus is hitting pakistan so badly you can see the condition of hospital in pakistan and there no space in hospital for corona patient so please take it serious this is a worldwide dangerous virus,fake
118,new case of covid 19 lagos jigawa bauchi katsina kano fct river kwara delta kaduna sokoto oyo kebbi nasarawa osun ondo ebonyi edo enugu anambra plateau niger case of covid 19 in nigeria discharged death,real
119,chronic covid is this week clinical trend,real
120,who report record daily increase in global coronavirus case up over,fake
121,covid is not killing people weak immune system and bad doctor are,fake
122,covid update there are case of covid to report in new zealand one in managed isolation and in the community today s new case bring our total number of active case to of those are imported case in managed isolation facility and are community case,real
123,indiafightscorona centreled focussed calibrated responsive effective measure of early identification through aggressive testing prompt surveillance tracking coupled with standardised high quality clinical care have led to nearly national recovery rate,real
124,russia ha allegedly unleashed over lion in order to ensure that people stay inside their house,fake
125,worker called back on the job deserve access to regular reliable covid testing,fake
126,we should do the same germany sends china 130billion bill for coronavirus damage spark fury in beijing,fake
127,rt nytscience data from antibody test in different city and state indicate that many people with no symptom may be spreading the,real
128,a video showing a police officer briefing about case being registered against the whatsapp group admins is shared in the context of coronavirus lockdown,fake
129,indiafightscorona india s daily new recovery come from state total number of covid 19 recovered case nearly lakh,real
130,dr megha vyas from pune india died due to covid while treating covid patient,fake
131,harvard study suggests quarantine can worsen covid pandemic,fake
132,of u physician have considered early retirement in light of the pandemic show a medscape survey,real
133,covid case under homeisolation stand discharged after day of symptom onset and no fever for day are then advised to isolate at home selfmonitor their health for a further day after this a fitness certificate is issued by the field team for the covid 19 case,real
134,coronavirus 10pm curfew for pub and restaurant but what other measure could johnson announce later,real
135,_a video ha been viewed ten of thousand of time in multiple post on facebook and youtube which claim it show an italian boy looking up at the night sky calling out for his mother who died from the novel coronavirus _,fake
136,official figure show new people tested positive for covid in england between september and september a substantial increase of compared with the end of august,real
137,_blackie__ surprised no one championing nasal rinse with mercury solution a a cure for the covid,fake
138,realdonaldtrump cherrypicked one stat to prove that the u is doing better than most country in the covid 19 fight other key measure show the opposite see the chart,fake
139,a supply increase the next stage of the vaccine rollout would be expanded based on an assessment of each country s vulnerability to the virus drtedros covid 19,real
140,tom hank to star in the most challenging role of his career hollywood coronavirus tomhanks,fake
141,coronavirusupdates indiafightscorona more than crore total sample tested covid 19 test per million tpm continue to rise stand at today,real
142,will we have a second national lockdown boris johnson is said to be considering the introduction of new national restriction to stop a rise in covid 19 infection here our explainer on what these restriction could look like more here,real
143,all the people treated in rajasthan the first indian state to get affected by covid were given this antimalarial drug it further advises people to have a dose of mg tablet twice or thrice in a week,fake
144,uk government advises resident to pick up cricket bat wait by door for coronavirus stayalert,fake
145,there is no evidence that child have died because of a covid vaccine no vaccine currently in development ha been approved for widespread public use,fake
146,youll note that this is the secondhighest number of test completed in a day yesterday saw a huge spike a california cleared it testing and reporting backlog 140k test per day is probably closer to the country real testing capacity at the moment,real
147,coronavirusupdates india covid 19 recovery rate improves to a on september steady improvement in india covid recovery rate since lockdown initiation on march indiafightscorona icmrdelhi via mohfw_india,real
148,the study found that chloroquine wa effective on primate cell with severe acute respiratory syndrome but while the two share similarity sarscov and covid are different disease and primate cell are far from human patient,fake
149,senate hopeful excoach tommy tuberville is wrong about covid and which state are playing college football it conference not state or governor who decide whether the season will go on a planned,fake
150,we still have significant cluster four of which are now closed a number of cluster have not had any new case for day and will be closed soon yesterday our lab processed test bringing the total number of test completed to date to,real
151,coronavirus and protest may push black community in the u to the brink via webmd,real
152,in january within two week of the first case being reported to who we published the first protocol for pcr testing for the new coronavirus since then million of test have been produced and already rapid test are now starting to be used drtedros covid 19,real
153,if you aren t able to test people the infection is spreading blindly the chairman of the british medical association dr chaand nagpaul say doctor want an effective test and trace system to prevent a second wave of coronavirus kayburley,real
154,modern day shakespeare this woman wrote another explicit one direction fanfic during quarantine covid 19 tuesdaymotivation,fake
155,nevada had never reported more than case in a day today the state reported almost the positive rate and hospitalization in the state are rising too,real
156,_a video ha been viewed ten of thousand of time in multiple post on facebook twitter and youtube alongside a claim it show police in india beating a man to death after he violated a nationwide coronavirus lockdown by venturing out for food _,fake
157,pedro sánchez ha a medical team of people to take care of him since the coronavirus crisis,fake
158,our daily update is published we ve now tracked million test up 441k from yesterday a new single day high note that we can only track test that a state report for detail see,real
159,delhi lg anil baijal ha announced the rollback of his order for a fiveday institutional quarantine for coronavirusinfected patient in the national capital former bangladesh cricket captain mashrafe mortaza ha tested positive for the coronavirus infection coronavirusfacts,fake
160,gv9195 kikimarfat elijahschaffer yes exactly in my country the use of covid drug wa prohibited in a preventive way so now anyone who feel bad with a lack of oxygen ha to go to the hospital and cannot prevent it before banned dexamethasone hydroxychloroquine aspirin and other drug which is unfair,fake
161,influenza vaccine are likely to result in a false positive pcrtest for sarscov,fake
162,a rohingya muslim wa terrified thinking a doctor had placed a gun on his head when the doctor wa actually doing a thermal scan using a machine,fake
163,local man eye funrun tshirt a potential toilet paper substitute coronavirus covid 19 ingenuity,fake
164,death are also at their lowest level since last monday there probably something of a weekend hangover effect in today testing and death data if you look at april the number were also depressed before popping back up a state cleared their reporting backlog,real
165,the chinese have begun to use their human corpse to process into product such a corned beef to ship to africa please share with your contact very important,fake
166,new case of covid 19 lagos river edo kaduna nasarawa oyo kano delta ebonyi gombe ogun ondo borno abia bauchi case of covid 19 in nigeria discharged death takeresponsibility,real
167,cranky_david when we were getting started on this project theatlantic yayitsrob and i surveyed the public health department on that it wa hard info to get then and probably impossible to get now alexismadrigal,real
168,annaamatorights rolynhome mi6rogue they already know why do you think goldman sachs amongst others will be advising them what they can make and what they will loose but analytics cant never work out this airborne deadly virus coviduk it all about to this despicable government,fake
169,clinician took a huge financial hit from covid,real
170,video show migrant worker raising long live pakistan slogan when returning their home state during lockdown,fake
171,indiafightscorona covid 19 update centre rush high level central team to jammu central team to assist in strengthening containment surveillance testing and efficient clinical management detail icmrdelhi staysafe indiawillwin,real
172,most people who have died from coronavirus are over if you have a serious underlying condition you also could get very sick from covid 19 even if you re younger learn more at,real
173,new covid case confirmed in mombasa,fake
174,a of july in the last day covid 19 case increased in the u ten state reported more than new case w state each reporting more than new case wear face covering stay foot away from others wash your hand see more data,real
175,rt mohfw_india indiafightscorona kudos to india frontline health worker the country achieves record high of covid 19 reco,real
176,new case of covid 19nigeria plateau kaduna lagos ogun osun fct ondo edo oyo akwa ibom cross river borno ekiti bauchi kano river confirmed discharged death,real
177,when weve eradicated covid can we get started on the moron get the tshirt here,fake
178,coronavirus social distancing rule relaxed for couple in established relationship,real
179,country without 5g are free from coronavirus,fake
180,measure put in place a part of the ease of lockdown include opening of neighborhood market on mon wed sat 8am 3pm bank corporate office from 8am 2pm government office on mon wed fri 8am 2pm closed school mosque church bar club garden,real
181,the indian government may reduce employee pension by,fake
182,trump positively hate his new nickname bunker boy donaldtrump coronavirus golf,fake
183,the cdc updated the covid number to admit that only of all the death recorded actually died from covid,fake
184,dr v ksrinivas vice president bharat biotech taking corona vaccine clinical trial after taking the first dose that he said he is the first person in india to take vaccine developed by his team in bharat biotech look at the confidence that they have in their product,fake
185,indiafightscorona a total of recovery have been recorded in the last hour of the new recovered case are being reported from state ut,real
186,indiafightscorona there ha been a unprecedented surge in covid recovery in india there is more than increase in patient recovered and discharged in the past day,real
187,to clarify these state only post positive test which doesnt allow u to understand the scope of their testing thankfully wbur got a number of out ma positive out of more than test even if more than mean thats not good,real
188,prevalence of asymptomatic infection in child correlate with the overall incidence of covid in the local population new jama pediatrics study find,real
189,this year the deworming campaign will be implemented through doortodoordeworming frontline health worker will observe covid 19 safety guideline while visiting each house to administer albendazole ensure to get your child dewormed healthforall,real
190,we need to develop a digital certificate that show who ha received all the vaccination only those with all the required vaccination may travel visit church participate in sport and music event get a job etc,fake
191,situation is coronainpakistan,fake
192,indiafightscorona india ha leapfrogged with covid 19 test more than crore test conducted india ha crossed lakh test on a single day,real
193,our hospitalization data became very solid with the inclusion of florida s number on july then came the new hhs guideline since then some individual state number have become more erratic see for example alabama today,real
194,what will remain of athome and telehealth innovation in the postcovid era is the milliondollar question,real
195,rt drharshvardhan coronavirusupdates state and ut have registered recovery rate more than the national average of the new,real
196,authority should implement temperature test to traveler from china,fake
197,ericcolson we brute force it with people our preferred source is the official state website but sometimes they announce thing at press conference or to reporter which we make an effort to track alexismadrigal,real
198,chinese elderly couple infected with coronavirus say goodbye while they are in a hospital,fake
199,the welsh government say rhondda cynon taf in south wale will be put under local lockdown restriction from 6pm tomorrow skyenda ha the latest from pontypridd read more,real
200,we now have people reported a having recovered from covid an increase of seven on yesterday this is of all confirmed and probable case today there are three people receiving hospitallevel care for covid none of these patient are in icu,real
201,we still have significant cluster there are no additional death to report yesterday our laboratory processed test bringing the total number of test completed to date to,real
202,yemen is currently suffering from three emergency the war the hunger and the coronavirus disaster emergency committee saleh saeed say in people who contract covid 19 in yemen die one of the highest death rate in the world breakfast,real
203,yesterday our laboratory completed test that brings the total number of test completed to date to please note that testing number are usually lower on the weekend,real
204,a good news finally an indian student from pondicherry university named ramu found a home remedy cure for covid which is for the very first time accepted by who he proved that by adding tablespoon of black pepper powder to table spoon of honey and some ginger juice for consecutive day would suppress the effect of corona and eventually go away entire world is starting to accept this remedy finally a good news in please circulate this information to all your family member and friend,fake
205,new case of covid 19 lagos edo ondo oyo akwa ibom borno plateau kaduna katsina bayelsa fct delta kano river enugu ogun kwara imo nasarawa osun abia ekiti niger yobe confirmed discharged death,real
206,a of july in the last day covid 19 case increased nationally with state each reporting more than new case help slow the spread by taking step like wearing cloth face covering see more covid data here,real
207,publication that state that the new vaccine contains digitizable rna an alleged replicant that is activated by 5g and that is why the virus can be reactivated after the patient recovers,fake
208,the photo doe not show a covid protest in berlin it wa taken in august in zurich switzerland during the 28th annual techno street parade,fake
209,international fact checker have been busy debunking claim of people infected by coronavirus being exterminated via factchecknet coronavirusfacts datoscoronavirus,fake
210,image of bjp men smearing cow dung on one another after their party leader suman haripriya ha said that cow dung may help cure coronavirus,fake
211,the risk of spread of covid from these two case while they were travelling to new zealand and in the managed isolation facility they were in is low but not impossible so we are ensuring all step are in place to mitigate the risk,real
212,rt drharshvardhan coronavirusupdates of the new recovered case about are being reported from five state viz maharashtra tami,real
213,the substance chlorine dioxide is a powerful bleach used in textile manufacturing the grenons market it a miracle mineral solution or mm which they say when drunk a a dilution can cure almost all illness including covid cancer hiv aid a well a the condition autism,fake
214,new virus expected to take covid crown in autumn china coronavirus pig virus,fake
215,fauci and newsom get down to it in dark little club on collapsing virus narrative coronavirus dranthonyfauci,fake
216,today s new case is a woman in her who arrived from dubai on september who is related to the three case reported yesterday today there are three people in hospital with covid one is in isolation on a ward in auckland city hospital,real
217,church service can t resume until we re all vaccinated say bill gate,fake
218,instagram post marketing cinchona bark powder a the substance from which the drug chloroquine is made and suggesting the powder a a potential protection or cure for covid,fake
219,since august our contact tracing team ha identified close contact of case of which have been contacted and are selfisolating or have completed selfisolation we are in the process of contacting the rest,real
220,news procovid activist step up campaign with demand for access to pure laboratorygrade coronavirus,fake
221,queen elizabeth stepping down permanently a queen amid coronavirus pandemic,fake
222,new case of covid 19nigeria plateau lagos kaduna fct ogun katsina imo edo nasarawa river bayelsa oyo osun confirmed discharged death,real
223,north carolina virginia state line is closed nothing in or out,fake
224,i enjoyed the great indoors in get your commemorative lockdown tshirt here,fake
225,cdc s symptombased strategy offer an alternative to testing covid 19,real
226,it vital that governor maintain restriction on business until after the november election because economic recovery will help trump be reelected,fake
227,indiafightscorona on a steep rising curve india s recovery rate touch of total active case in most affected statesthey are also reporting close to of total recovered case,real
228,wearing a cloth face covering correctly can help prevent the spread of covid 19 to others when you go out on essential trip follow these do s if you have a child remember those under age should not wear a face covering see,real
229,homeopathic doctor in colombia give out a prescription that according to him cure the coronavirus,fake
230,no one should have to pay for coronavirus treatment period,fake
231,homeless service provider planning and responding to covid 19 among people experiencing homelessness requires a whole community approach learn more,real
232,crime and policing minister kitmalthouse say there are bound to be teething issue with the uk covid testing capacity and that processing is an issue kayburley,real
233,of the people who left managed isolation facility between june people have been contacted and have tested negative for covid of those were tested before leaving managed isolation and the remaining were tested after departure from the facility,real
234,both woman are self isolating in the wellington region we are confident this is the best place for them to be right now the family ha asked for their privacy to be respected,real
235,cruise ship sunk a a precaution covid 19 coronavirus,fake
236,since april anyone who is symptomatic coming across the border or who develops symptom during the day of isolation is then taken to a dedicated quarantine facility where they are tested since the beginning of april we ve had positive case at the border,real
237,indiafightscorona india scale yet another peak of highest ever single day recovery patient recover in last hour of total recovery concentrated in state,real
238,our daily update is published we ve now tracked more than million test up 155k from yesterday 360k have been positive note that we can only track test that a state report and not all state report all test for detail see,real
239,india ha crossed the milestone of conducting more than crore covid 19 sample test across india there are more than lakh test being done on a daily basis in it fight against corona icmrfightscovid 19 for more detail visit,real
240,avery_abe tanmart 03 i cant believe they left off the part where they reveal that covid wa bioengineered just to kill tanner fortunately the scientist failed,fake
241,after resident of a skilled nursing facility tested positive for covid 19 all resident staff were tested case were diagnosed covid spread quickly in skilled nursing facility universal serial testing are important more from cdcmmwr,real
242,a good news finally an indian student from pondicherry university named ramu found a home remedy cure for covid which is for the very first time accepted by who he proved that by adding tablespoon of black pepper powder to table spoon of honey and some ginger juice for consecutive day would suppress the effect of corona and eventually go away entire world is starting to accept this remedy finally a good news in please circulate this information to all your family member and friend,fake
243,boom trump to use neutron bomb on china to rid corinavirus donaldtrump china coronavirus xijinping,fake
244,rt pib_india test per million per day is increasing gradually improved from test per million per day on august to more than,real
245,image of food distributed in isolation center in the state of kerala india,fake
246,20manny07 other counter are including the new definition of death in new york city we haven t seen new york state report that yet and we track state data alexismadrigal,real
247,acc to mohfw_india revised homeisolation guideline elderly patient aged yr those with comorbid condition such a hypertension diabetes heart disease etc shall only be allowed home isolation after proper evaluation by the treating medical officer,real
248,no need for covid testing prior to discharge 2nd rtpcr test is done only in severe covid _19 case after clinical recovery review of icmrdelhi surveillance data indicated that after initial rtpcr ve result patient became ve after median duration of day,real
249,indian ruling party bjprun state manipur is india first coronavirus free state,fake
250,sam smith announces album retitling and delay due to coronavirus pandemic,fake
251,man seen in viral image wa a covid patient who fell in love with his lady doctor the two got engaged in the same hospital in egypt,fake
252,teacher already know which snotty kid is going to give her coronavirus,fake
253,foxnews this is the investigation that everyone agrees with this trump loser lied about the seriousness of covid plague then refused to test american then pushed bleach and chloroquine on american anyone else would will in prison for murder in the first degree not negligence,fake
254,president donald trump will announce that a scientist finally found a vaccine to cure coronavirus,fake
255,it s bizarre which conspiracy or whatever people will believe while refusing to question other shit like my aunt who still think covid is a chinese bioweapon scoffed at me for implying the government doesn t really want people to vote,fake
256,another new coronavirus case have been confirmed in the uk the highest daily number since may it up from new case reported on friday and the overall total nationwide now stand at read the latest here,real
257,on michigan the state ha the thirdmost confirmed case and death after ny then nj we had not been including their negative test number because the state said it represented specimen not people,real
258,coronavirusupdates india covid 19 recovery rate improves to a on august steady improvement in india covid recovery rate since lockdown initiation on march indiafightscorona icmrdelhi via mohfw_india,real
259,kenyan govt kenyan govt u the maasai tribe for the curfew after the police failed to implement massai tribe don t consider a man a a brave one without killing a lion with his spear and club govt asked their leader to bring his men within hr not a single ant wa seen in the street,fake
260,but we can bring this virus under control if people have accurate timely information about the basic measure that they can take to protect themselves and others drtedros covid 19 unga,real
261,_posts on social medium claim that people who have been vaccinated against the flu in the last year will test positive for covid _,fake
262,a per icmrdelhi sample were tested for covid 19 on july mohfw_india drharshvardhan drhvoffice covidindiaseva covid 19 covid _19 covidー 19 coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates,real
263,coronavirus head of test and trace say rise in demand for covid test wasnt expected,real
264,in india kerala high court order kerala government to cease business with controversial data analytics company sprinklr while hearing a public interest litigation suite on april,fake
265,drinking cold water hot drink or alcohol protects against coronavirus,fake
